ID;Gender;Inst_HUN;Pr_area_ENG;Pr_HUN;Pr_ENG_bachelor;Grad_level;FEOR4;FEOR3;ISCO1;ISCO3;ISCO1_ENG;ISCO3_ENG;Req_HEd;NUTS_region;Weekly_hrs;Mountly_wage_HUF
1;F;Semmelweis Egyetem;Health Science;ápolás és betegellátás;Nursing and Patient Care;B;3311;331;3;322;Technicians and associate professionals;Nurses and midwives;1;HU312;40;130155
2;M;Óbudai Egyetem;Economic Science;vállalkozásfejlesztés;NA;M;3655;365;3;335;Technicians and associate professionals;Regulatory government associate professionals;1;not NUTS special tax ;40;343700
3;F;Zsigmond Király Fõiskola;Arts and Humanities;andragógia;Andragogy;B;3212;321;3;312;Technicians and associate professionals;"Mining; manufacturing and construction supervisors";1;not NUTS important taxpayer;40;463365
4;F;Edutus Fõiskola;Economic Science;gazdálkodási és menedzsment;Business management;B;3910;391;3;333;Technicians and associate professionals;Business services agents;1;not NUTS important taxpayer;40;336000
5;M;Budapesti Mûszaki és Gazdaságtudományi Egyetem;Economic Science;Master of Business Administration (MBA);NA;M;2153;215;2;252;Professionals;Database and network professionals;1;HU311;40;125000
6;M;Óbudai Egyetem;Engineering Science;villamosmérnöki;Electric engineer;B;2121;212;2;215;Professionals;Electrotechnology engineers;1;HU101;40;151500
7;F;Budapesti Gazdasági Fõiskola;Economic Science;gazdálkodási és menedzsment;Business management;B;2910;291;2;261;Professionals;Legal professionals;1;HU101;40;295000
8;F;Kaposvári Egyetem;Teacher and kindergarten teacher;tanító;NA;F;3612;361;3;331;Technicians and associate professionals;Financial and mathematical associate professionals;1;not NUTS important taxpayer;40;289325
9;M;Debreceni Egyetem;Arts and Humanities;angol nyelv és irodalom;NA;E;2910;291;2;261;Professionals;Legal professionals;1;HU321;40;160400
10;F;Budapesti Kommunikációs és Üzleti Fõiskola;Economic Science;turizmus-vendéglátás;Tourism ;B;1333;133;1;142;Managers;Retail and wholesale trade managers;1;HU102;40;0
11;F;Edutus Fõiskola;Economic Science;kereskedelmi;NA;F;3910;391;3;333;Technicians and associate professionals;Business services agents;1;HU212;40;268304
12;F;Szegedi Tudományegyetem;Economic Science;gazdálkodási;NA;E;4121;412;4;431;Clerical support workers;Numerical and material recording clerks;0;HU101;40;258376
13;F;Zsigmond Király Fõiskola;Social Science;kommunikáció és médiatudomány;Communication and Media Science;B;4224;422;4;422;Clerical support workers;Client information workers;0;HU101;30;62609
14;M;Szegedi Tudományegyetem;Arts and Humanities;történelem;NA;E;3611;361;3;331;Technicians and associate professionals;Financial and mathematical associate professionals;1;not NUTS important taxpayer;40;182944
15;F;Budapesti Gazdasági Fõiskola;Social Science;kommunikáció és médiatudomány;Communication and Media Science;B;5123;512;5;524;"Clerical support workers; service and sales workers";Other sales workers;0;not NUTS important taxpayer;40;287340
16;F;Szolnoki Fõiskola;Economic Science;pénzügy és számvitel;Finance and Accounting;B;5129;512;5;524;"Clerical support workers; service and sales workers";Other sales workers;0;HU101;20;48110
17;F;Nyugat-Magyarországi Egyetem;Agricultural Science;állattenyésztõ mérnöki;Animal production engineer;B;4112;411;4;411;Clerical support workers;General office clerks;0;HU101;40;167281
18;M;Óbudai Egyetem;Engineering Science;villamosmérnöki;NA;F;1321;132;1;132;Managers;"Manufacturing; mining; construction; and distribution managers";1;not NUTS important taxpayer;40;762392
19;M;Magyar Táncmûvészeti Fõiskola;Teacher training;táncpedagógus;NA;F;2494;249;2;235;Professionals;Other teaching professionals;1;HU331;40;100000
20;F;Eötvös Loránd Tudományegyetem;Social Science;szociális munka;Social work;B;3639;363;3;333;Technicians and associate professionals;Business services agents;1;HU101;40;0
21;F;Debreceni Egyetem;Law;jogász;NA;E;2615;261;2;261;Professionals;Legal professionals;1;HU101;40;108000
22;F;Eötvös Loránd Tudományegyetem;Natural sciences;meteorológus;NA;E;2910;291;2;261;Professionals;Legal professionals;1;not NUTS important taxpayer;40;244000
23;M;Nyíregyházi Fõiskola;Natural sciences;biológiatanári;NA;P;3511;351;3;341;Technicians and associate professionals;"Legal; social and religious associate professionals";1;HU323;40;129600
24;F;Budapesti Gazdasági Fõiskola;Economic Science;gazdaságdiplomácia és nemzetközi menedzsment;NA;F;2910;291;2;261;Professionals;Legal professionals;1;not NUTS special tax ;40;280000
25;M;Szent István Egyetem;Engineering Science;építõmérnöki;NA;F;4222;422;4;422;Clerical support workers;Client information workers;0;HU101;40;80869
26;F;Eszterházy Károly Fõiskola;Arts and Humanities;magyar;Hungarian litrature and language;B;3624;362;3;332;Technicians and associate professionals;Sales and purchasing agents and brokers;1;HU221;40;173704
27;F;Nyugat-Magyarországi Egyetem;Arts and Humanities;andragógia;Andragogy;B;5129;512;5;524;"Clerical support workers; service and sales workers";Other sales workers;0;HU221;40;103000
28;F;Óbudai Egyetem;Economic Science;mûszaki menedzser;NA;F;3190;319;3;311;Technicians and associate professionals;Physical and engineering science technicians;1;HU101;40;267900
29;F;Edutus Fõiskola;Economic Science;kereskedelem és marketing;Commerce and marketing;B;1415;141;1;122;Managers;"Sales; marketing and development managers";1;HU102;40;120000
30;M;Magyar Táncmûvészeti Fõiskola;Teacher training;táncpedagógus;NA;F;2431;243;2;234;Professionals;Primary school and early childhood teachers;1;HU232;40;173259
31;F;Miskolci Egyetem;Economic Science;gazdálkodási;NA;E;2514;251;2;241;Professionals;Finance professionals;1;not NUTS important taxpayer;40;270300
32;F;Edutus Fõiskola;Economic Science;gazdálkodási és menedzsment;Business management;B;3614;361;3;331;Technicians and associate professionals;Financial and mathematical associate professionals;1;HU101;40;340000
33;M;Óbudai Egyetem;Computer Science and Information Technology;mérnökinformatikus;IT  engineer ;B;2142;214;2;251;Professionals;Software and applications developers and analysts;1;HU101;40;151500
34;F;Nyugat-Magyarországi Egyetem;Teacher and kindergarten teacher;tanító;NA;F;8219;821;8;821;Skilled manual workers;Assemblers;0;not NUTS important taxpayer;40;145500
35;M;Nyugat-Magyarországi Egyetem;Agricultural Science;növényorvosi;NA;M;2131;213;2;213;Professionals;Life Science Professionals;1;HU101;40;189500
36;F;Szent István Egyetem;Health Science;ápolás és betegellátás;Nursing and Patient Care;B;2910;291;2;261;Professionals;Legal professionals;1;not NUTS important taxpayer;40;473000
37;M;Szegedi Tudományegyetem;Informatics;programtervezõ matematikus;NA;E;2142;214;2;251;Professionals;Software and applications developers and analysts;1;HU101;40;220000
38;F;Széchenyi István Egyetem;Management;jogi asszisztens;NA;A;3622;362;3;332;Technicians and associate professionals;Sales and purchasing agents and brokers;1;HU221;40;125217
39;F;Szegedi Tudományegyetem;Economic Science;gazdálkodási és menedzsment;Business management;B;2514;251;2;241;Professionals;Finance professionals;1;HU333;40;320000
40;F;Pázmány Péter Katolikus Egyetem;Social Science;kommunikáció és médiatudomány;Communication and Media Science;B;4222;422;4;422;Clerical support workers;Client information workers;0;HU101;20;13043
41;F;Debreceni Egyetem;Teacher Training;óvodapedagógus;Kindergarten teacher;B;4222;422;4;422;Clerical support workers;Client information workers;0;HU221;40;183448
42;M;Nyugat-Magyarországi Egyetem;Economic Science;kereskedelem és marketing;Commerce and marketing;B;3910;391;3;333;Technicians and associate professionals;Business services agents;1;HU221;10;33750
43;F;Szegedi Tudományegyetem;Arts and Humanities;magyar nyelv és irodalom;NA;E;2410;241;2;231;Professionals;University and higher education teachers;1;HU333;40;203100
44;F;Eszterházy Károly Fõiskola;Teacher training;tanári;NA;M;1328;132;1;134;Managers;Professional services managers;1;HU312;40;278148
45;F;Szegedi Tudományegyetem;Arts and Humanities;anglisztika;Anglistics;B;2431;243;2;234;Professionals;Primary school and early childhood teachers;1;HU333;40;135400
46;F;Budapesti Gazdasági Fõiskola;Economic Science;turizmus-vendéglátás;Tourism ;B;4134;413;4;441;Clerical support workers;Other clerical support workers;0;HU211;20;173343
47;M;Szent István Egyetem;Engineering Science;gépészmérnöki;Mechanical Engineer;B;2139;213;2;214;Professionals;Engineering professionals (excluding electrotechnology);1;not NUTS important taxpayer;40;303856
48;M;Óbudai Egyetem;Economic Science;mûszaki menedzser;NA;F;3339;333;3;325;Technicians and associate professionals;Other health associate professionals;1;HU101;40;150001
49;M;Miskolci Egyetem;Engineering Science;kohómérnöki;NA;E;2112;211;2;214;Professionals;Engineering professionals (excluding electrotechnology);1;HU102;40;355000
50;F;Eötvös Loránd Tudományegyetem;Teacher Training;gyógypedagógia;Special education;B;1333;133;1;142;Managers;Retail and wholesale trade managers;1;HU101;40;131000
51;M;Zsigmond Király Fõiskola;Social Science;kommunikáció és médiatudomány;Communication and Media Science;B;2533;253;2;243;Professionals;"Sales; marketing and public relations professionals";1;HU101;40;795718
52;F;Zsigmond Király Fõiskola;Social Science;szociológia;Sociology;B;3612;361;3;331;Technicians and associate professionals;Financial and mathematical associate professionals;1;not NUTS important taxpayer;40;335500
53;F;Nyugat-Magyarországi Egyetem;Media and communication studies;intézményi kommunikátor;NA;A;9239;923;9;962;Manual workers;Other elementary workers;0;HU222;40;65630
54;F;Nyugat-Magyarországi Egyetem;Economic Science;turizmus-vendéglátás;Tourism ;B;3622;362;3;332;Technicians and associate professionals;Sales and purchasing agents and brokers;1;not NUTS important taxpayer;40;150000
55;F;Széchenyi István Egyetem;Economic Science;gazdálkodási és menedzsment;Business management;B;1411;141;1;121;Managers;Business services and administration managers;1;not NUTS important taxpayer;40;215244
56;M;Nyíregyházi Fõiskola;Engineering Science;közlekedésmérnöki;Traffic engineering;B;8418;841;8;833;Skilled manual workers;Heavy truck and bus drivers;0;not NUTS important taxpayer;40;167260
57;M;Eötvös Loránd Tudományegyetem;Arts and Humanities;szociológia;NA;E;3639;363;3;333;Technicians and associate professionals;Business services agents;1;HU102;40;150000
58;F;Nyíregyházi Fõiskola;Arts and Humanities;mûvelõdésszervezõ;NA;P;3621;362;3;332;Technicians and associate professionals;Sales and purchasing agents and brokers;1;not NUTS important taxpayer;40;158300
59;M;Budapesti Mûszaki és Gazdaságtudományi Egyetem;Natural sciences;fizika;Physics;B;3910;391;3;333;Technicians and associate professionals;Business services agents;1;HU101;6;231654
60;F;Szent István Egyetem;Arts and Humanities;andragógia;Andragogy;B;1415;141;1;122;Managers;"Sales; marketing and development managers";1;HU332;40;108000
61;F;Zsigmond Király Fõiskola;Arts and Humanities;vallástudomány;NA;M;4111;411;4;412;Clerical support workers;Secretaries (general);0;HU101;40;168000
62;M;Nyíregyházi Fõiskola;Teacher training;tanári;NA;M;3719;371;2;265;Professionals;Creative and performing artists;1;HU323;40;160200
63;M;Budapesti Corvinus Egyetem;Economic Science;kereskedelem és marketing;Commerce and marketing;B;2533;253;2;243;Professionals;"Sales; marketing and public relations professionals";1;HU211;40;180000
64;F;Miskolci Egyetem;Health Science;egészségügyi gondozás és prevenció;Health Care and Prevention;B;2225;222;3;325;Technicians and associate professionals;Other health associate professionals;1;HU312;40;186435
65;F;Apor Vilmos Katolikus Fõiskola;Teacher Training;óvodapedagógus;Kindergarten teacher;B;4190;419;4;441;Clerical support workers;Other clerical support workers;0;HU102;40;180000
66;F;Pázmány Péter Katolikus Egyetem;Arts and Humanities;pszichológia;NA;P;2628;262;2;263;Professionals;Social and religious professionals;1;HU101;20;82200
67;F;Zsigmond Király Fõiskola;Arts and Humanities;szabad bölcsészet;Liberal Arts;B;8111;811;8;816;Skilled manual workers;Food and related products machine operators;0;HU101;10;22000
68;F;Debreceni Egyetem;Social Science;szociális munka;Social work;B;1411;141;1;121;Managers;Business services and administration managers;1;HU321;20;54000
69;F;Dunaújvárosi Fõiskola;Teacher training;tanári;NA;M;2421;242;2;233;Professionals;Secondary education teachers;1;HU233;40;376000
70;F;Szegedi Tudományegyetem;Arts and Humanities;magyar nyelv és irodalom;NA;E;3639;363;3;333;Technicians and associate professionals;Business services agents;1;HU333;40;112000
71;F;Pázmány Péter Katolikus Egyetem;Arts and Humanities;anglisztika;Anglistics;B;4190;419;4;441;Clerical support workers;Other clerical support workers;0;HU101;30;182084
72;F;Debreceni Egyetem;Health Science;ápolás és betegellátás;Nursing and Patient Care;B;2231;223;2;222;Professionals;Nursing and midwifery professionals;1;HU323;36;171101
73;F;Gál Ferenc Fõiskola;Religious Science;katekéta-lelkipásztori munkatárs;"Catechist; pastoral staff";B;3612;361;3;331;Technicians and associate professionals;Financial and mathematical associate professionals;1;HU101;40;113000
74;F;Debreceni Egyetem;Engineering Science;mûszaki menedzser;Technical Manager;B;3639;363;3;333;Technicians and associate professionals;Business services agents;1;not NUTS important taxpayer;20;225000
75;M;Szegedi Tudományegyetem;Natural sciences;geográfus;NA;E;3622;362;3;332;Technicians and associate professionals;Sales and purchasing agents and brokers;1;HU331;20;65000
76;F;Budapesti Kommunikációs és Üzleti Fõiskola;Economic Science;gazdálkodási és menedzsment;Business management;B;2533;253;2;243;Professionals;"Sales; marketing and public relations professionals";1;not NUTS important taxpayer;40;846355
77;F;Eötvös Loránd Tudományegyetem;Teacher Training;gyógypedagógia;Special education;B;2910;291;2;261;Professionals;Legal professionals;1;HU101;40;234534
78;M;Pannon Egyetem;Informatics;mûszaki informatikai;NA;E;2910;291;2;261;Professionals;Legal professionals;1;HU101;40;1406624
79;F;Budapesti Corvinus Egyetem;Military sciences;közigazgatási;NA;M;4112;411;4;411;Clerical support workers;General office clerks;0;not NUTS important taxpayer;40;360501
80;M;Budapesti Corvinus Egyetem;Computer Science and Information Technology;gazdaságinformatikus;Business Information;B;3143;314;3;351;Technicians and associate professionals;Information and communications technology operations and user support technicians;1;HU101;40;108000
81;F;Debreceni Egyetem;Health Science;ápolás és betegellátás;Nursing and Patient Care;B;2224;222;2;226;Professionals;Other health professionals;1;HU321;40;156514
82;F;Eszterházy Károly Fõiskola;Arts and Humanities;andragógia;Andragogy;B;4227;422;4;421;Clerical support workers;"Tellers; money collectors and related clerks";0;not NUTS important taxpayer;40;192003
83;F;Szegedi Tudományegyetem;Economic Science;nemzetközi gazdaság és gazdálkodás;NA;M;3614;361;3;331;Technicians and associate professionals;Financial and mathematical associate professionals;1;HU322;40;110539
84;F;Budapesti Gazdasági Fõiskola;Economic Science;kereskedelem és marketing;Commerce and marketing;B;3135;313;3;311;Technicians and associate professionals;Physical and engineering science technicians;1;not NUTS important taxpayer;40;331136
85;F;Debreceni Egyetem;Arts and Humanities;pszichológia;Psychology;B;2442;244;2;235;Professionals;Other teaching professionals;1;HU323;36;137180
86;M;Szent István Egyetem;Agricultural Science;természetvédelmi mérnöki;Nature conservation engineering;B;3622;362;3;332;Technicians and associate professionals;Sales and purchasing agents and brokers;1;HU101;40;108000
87;M;Óbudai Egyetem;Engineering Science;villamosmérnöki;Electric engineer;B;7343;734;7;741;"Skilled agricultural; forestry and fishery workers; craft and related trades workers";Electrical equipment installers and repairers;0;not NUTS important taxpayer;40;264076
88;M;Kecskeméti Fõiskola;Teacher training;mérnöktanári (mûszaki);NA;F;2159;215;2;252;Professionals;Database and network professionals;1;not NUTS important taxpayer;40;351461
89;F;Széchenyi István Egyetem;Economic Science;gazdálkodási és menedzsment;Business management;B;3611;361;3;331;Technicians and associate professionals;Financial and mathematical associate professionals;1;HU213;40;222300
90;M;Óbudai Egyetem;Engineering Science;mechatronikai mérnöki;Mechatronic engineering;B;2142;214;2;251;Professionals;Software and applications developers and analysts;1;HU101;40;349500
91;M;Széchenyi István Egyetem;Engineering Science;villamosmérnöki;Electric engineer;B;2122;212;2;215;Professionals;Electrotechnology engineers;1;not NUTS important taxpayer;40;843657
92;M;Semmelweis Egyetem;Health Science;általános orvostudományi;NA;E;2211;221;2;221;Professionals;Medical doctors;1;HU101;40;322230
93;F;Szegedi Tudományegyetem;Law;munkaügyi és társadalombiztosítási igazgatási;Labour and Social Security Administration;B;4122;412;4;431;Clerical support workers;Numerical and material recording clerks;0;HU333;40;200000
94;F;Budapesti Gazdasági Fõiskola;Economic Science;kereskedelem és marketing;Commerce and marketing;B;3639;363;3;333;Technicians and associate professionals;Business services agents;1;HU101;40;134522
95;F;Szent István Egyetem;Economic Science;gazdálkodási és menedzsment;Business management;B;4134;413;4;441;Clerical support workers;Other clerical support workers;0;not NUTS important taxpayer;40;117955
96;F;Debreceni Egyetem;Teacher training;tanári;NA;M;2421;242;2;233;Professionals;Secondary education teachers;1;HU332;40;178773
97;F;Szent István Egyetem;Engineering Science;környezetmérnöki;NA;E;2139;213;2;214;Professionals;Engineering professionals (excluding electrotechnology);1;HU102;40;429568
98;M;Nyugat-Magyarországi Egyetem;Natural sciences;földrajz;Geography;B;9239;923;9;962;Manual workers;Other elementary workers;0;HU101;40;152671
99;M;Széchenyi István Egyetem;Engineering Science;közlekedésmérnöki;Traffic engineering;B;9223;922;9;933;Manual workers;Transport and storage labourers;0;HU221;40;93000
100;M;Eötvös Loránd Tudományegyetem;Teacher training;tanári;NA;M;2139;213;2;214;Professionals;Engineering professionals (excluding electrotechnology);1;HU331;40;141500
101;F;Nyugat-Magyarországi Egyetem;Social Science;szociálpedagógia;Social pedagogy;B;3115;311;3;311;Technicians and associate professionals;Physical and engineering science technicians;1;not NUTS important taxpayer;40;190200
102;F;Budapesti Gazdasági Fõiskola;Economic Science;turizmus-vendéglátás;Tourism ;B;1415;141;1;122;Managers;"Sales; marketing and development managers";1;HU102;20;74000
103;M;Budapesti Corvinus Egyetem;Economic Science;nemzetközi gazdálkodás;International Management;B;1334;133;1;143;Managers;Other services managers;1;HU101;0;0
104;F;Pázmány Péter Katolikus Egyetem;Religious Science;katekéta-lelkipásztori munkatárs;"Catechist; pastoral staff";B;2117;211;2;214;Professionals;Engineering professionals (excluding electrotechnology);1;not NUTS important taxpayer;30;323440
105;M;Budapesti Mûszaki és Gazdaságtudományi Egyetem;Engineering Science;villamosmérnöki;NA;E;2121;212;2;215;Professionals;Electrotechnology engineers;1;HU101;20;300000
106;F;Szent István Egyetem;Health Science;egészségügyi szervezõ;Health organization;B;3332;333;3;325;Technicians and associate professionals;Other health associate professionals;1;HU332;40;158333
107;M;Dunaújvárosi Fõiskola;Engineering Science;anyagmérnöki;Materials engineering;B;7328;732;7;721;"Skilled agricultural; forestry and fishery workers; craft and related trades workers";"Sheet and structural metal workers; moulders and welders; and related workers";0;HU211;40;110300
108;F;Széchenyi István Egyetem;Economic Science;gazdálkodási és menedzsment;Business management;B;3612;361;3;331;Technicians and associate professionals;Financial and mathematical associate professionals;1;HU222;40;160000
109;M;Nyíregyházi Fõiskola;Natural sciences;földrajz;Geography;B;2431;243;2;234;Professionals;Primary school and early childhood teachers;1;HU323;40;127000
110;F;Szegedi Tudományegyetem;Economic Science;gazdálkodási;NA;E;4129;412;4;441;Clerical support workers;Other clerical support workers;0;HU333;40;150000
111;F;Nyugat-Magyarországi Egyetem;Engineering Science;környezetmérnöki;Environmental engineering;B;2910;291;2;261;Professionals;Legal professionals;1;HU221;30;97100
112;M;Eszterházy Károly Fõiskola;Natural sciences;környezettan;Ecology;B;7321;732;7;721;"Skilled agricultural; forestry and fishery workers; craft and related trades workers";"Sheet and structural metal workers; moulders and welders; and related workers";0;HU322;40;135240
113;M;Szegedi Tudományegyetem;Natural sciences;vegyész;NA;E;7321;732;7;721;"Skilled agricultural; forestry and fishery workers; craft and related trades workers";"Sheet and structural metal workers; moulders and welders; and related workers";0;not NUTS important taxpayer;40;200000
114;F;Eszterházy Károly Fõiskola;Natural sciences;kémia;Chemistry;B;3322;332;3;325;Technicians and associate professionals;Other health associate professionals;1;HU232;20;76000
115;F;Szegedi Tudományegyetem;Arts and Humanities;spanyol nyelv és irodalom;NA;E;4224;422;4;422;Clerical support workers;Client information workers;0;not NUTS important taxpayer;40;323900
116;M;Nyíregyházi Fõiskola;Social Science;szociálpedagógia;Social pedagogy;B;8152;815;8;812;Skilled manual workers;Metal processing and finishing plant operators;0;HU311;40;169561
117;F;Dunaújvárosi Fõiskola;Economic Science;gazdálkodási és menedzsment;Business management;B;3612;361;3;331;Technicians and associate professionals;Financial and mathematical associate professionals;1;not NUTS important taxpayer;40;250000
118;F;Eszterházy Károly Fõiskola;Teacher training;tanári;NA;M;2492;249;2;235;Professionals;Other teaching professionals;1;HU311;40;168000
119;M;Budapesti Corvinus Egyetem;Military sciences;igazgatásszervezõ;NA;F;3161;316;2;214;Professionals;Engineering professionals (excluding electrotechnology);1;not NUTS important taxpayer;38;438570
120;F;Szegedi Tudományegyetem;Teacher training;tanári;NA;M;2431;243;2;234;Professionals;Primary school and early childhood teachers;1;HU333;40;171100
121;F;Debreceni Egyetem;Arts and Humanities;pedagógia;NA;E;2421;242;2;233;Professionals;Secondary education teachers;1;HU321;40;131700
122;F;Eötvös Loránd Tudományegyetem;Arts and Humanities;pszichológia;Psychology;B;4112;411;4;411;Clerical support workers;General office clerks;0;HU101;40;161000
123;F;Szent István Egyetem;Agricultural Science;agrármérnöki;NA;E;1339;133;1;143;Managers;Other services managers;1;HU101;30;66913
124;M;Moholy-Nagy Mûvészeti Egyetem;Arts;vizuális kommunikáció;NA;E;3715;371;3;343;Technicians and associate professionals;"Artistic; cultural and culinary associate professionals";1;HU101;0;93002
125;M;Edutus Fõiskola;Economic Science;kereskedelmi;NA;F;1210;121;1;112;Managers;Managing directors and chief executives;1;HU231;0;93000
126;M;Miskolci Egyetem;Economic Science;gazdálkodási;NA;E;2159;215;2;252;Professionals;Database and network professionals;1;HU101;40;370415
127;F;Szegedi Tudományegyetem;Social Science;nemzetközi tanulmányok;International Studies;B;4134;413;4;441;Clerical support workers;Other clerical support workers;0;not NUTS important taxpayer;40;230800
128;F;Semmelweis Egyetem;Sport Science;sportszervezõ;Sports organizer;B;2717;271;3;342;Technicians and associate professionals;Sports and fitness workers;1;HU102;30;82500
129;M;Debreceni Egyetem;Teacher training;informatikatanári;NA;E;2151;215;2;252;Professionals;Database and network professionals;1;not NUTS important taxpayer;40;270000
130;F;Nyíregyházi Fõiskola;Management;titkárságvezetõ;NA;A;3910;391;3;333;Technicians and associate professionals;Business services agents;1;HU311;40;109600
131;F;Semmelweis Egyetem;Sport Science;testnevelõ tanár;NA;P;2421;242;2;233;Professionals;Secondary education teachers;1;HU101;40;153990
132;M;Eötvös Loránd Tudományegyetem;Computer Science and Information Technology;programtervezõ informatikus;Software Engineering;B;3910;391;3;333;Technicians and associate professionals;Business services agents;1;HU101;32;87000
133;M;Pázmány Péter Katolikus Egyetem;Computer Science and Information Technology;mérnökinformatikus;IT  engineer ;B;2142;214;2;251;Professionals;Software and applications developers and analysts;1;HU102;40;290000
134;F;Budapesti Corvinus Egyetem;Military sciences;igazgatásszervezõ;Administration management;B;2910;291;2;261;Professionals;Legal professionals;1;HU101;20;295000
135;F;Szegedi Tudományegyetem;Economic Science;vállalkozó-menedzser;NA;F;4121;412;4;431;Clerical support workers;Numerical and material recording clerks;0;HU333;40;108000
136;F;Budapesti Mûszaki és Gazdaságtudományi Egyetem;Economic Science;gazdálkodási;NA;E;1411;141;1;121;Managers;Business services and administration managers;1;HU101;40;146739
137;M;Eszterházy Károly Fõiskola;Teacher training;tanári;NA;M;2421;242;2;233;Professionals;Secondary education teachers;1;HU322;40;154640
138;F;Miskolci Egyetem;Economic Science;gazdálkodási;NA;E;2123;212;2;215;Professionals;Electrotechnology engineers;1;not NUTS important taxpayer;40;271500
139;F;Budapesti Corvinus Egyetem;Economic Science;nemzetközi kapcsolatok;NA;E;2524;252;2;242;Professionals;Administration professionals;1;not NUTS important taxpayer;40;300000
140;F;Edutus Fõiskola;Economic Science;turizmus-vendéglátás;Tourism ;B;4225;422;4;422;Clerical support workers;Client information workers;0;HU101;40;194104
141;F;Károli Gáspár Református Egyetem;Law;jogász;NA;O;2231;223;2;222;Professionals;Nursing and midwifery professionals;1;HU333;40;171768
142;F;Pannon Egyetem;Economic Science;számvitel;NA;M;3614;361;3;331;Technicians and associate professionals;Financial and mathematical associate professionals;1;HU211;40;250001
143;F;Budapesti Corvinus Egyetem;Economic Science;vezetés és szervezés;NA;M;3632;363;2;243;Professionals;"Sales; marketing and public relations professionals";1;HU101;40;147000
144;M;Általános Vállalkozási Fõiskola;Economic Science;közszolgálati;Public service;B;7521;752;7;712;"Skilled agricultural; forestry and fishery workers; craft and related trades workers";Building finishers and related trades workers;0;HU101;0;50000
145;F;Szent István Egyetem;Engineering Science;környezetmérnöki;NA;E;4111;411;4;412;Clerical support workers;Secretaries (general);0;HU332;40;113500
146;M;Miskolci Egyetem;Social Science;politológia;NA;E;5299;529;5;516;"Clerical support workers; service and sales workers";Other personal services workers;0;HU101;40;206000
147;F;Eötvös Loránd Tudományegyetem;Economic Science;nemzetközi tanulmányok;NA;E;4111;411;4;412;Clerical support workers;Secretaries (general);0;not NUTS important taxpayer;40;416298
148;M;Általános Vállalkozási Fõiskola;Economic Science;gazdálkodási és menedzsment;Business management;B;3190;319;3;311;Technicians and associate professionals;Physical and engineering science technicians;1;HU101;40;204000
149;F;Debreceni Egyetem;Natural sciences;biológus;NA;E;2167;216;2;213;Professionals;Life Science Professionals;1;HU323;40;120000
150;F;Budapesti Corvinus Egyetem;Social Science;nemzetközi tanulmányok;International Studies;B;3612;361;3;331;Technicians and associate professionals;Financial and mathematical associate professionals;1;not NUTS important taxpayer;40;338843
151;M;Miskolci Egyetem;Computer Science and Information Technology;mérnökinformatikus;IT  engineer ;B;8219;821;8;821;Skilled manual workers;Assemblers;0;not NUTS important taxpayer;40;148992
152;F;Budapesti Kommunikációs és Üzleti Fõiskola;Economic Science;turizmus-vendéglátás;Tourism ;B;4224;422;4;422;Clerical support workers;Client information workers;0;HU102;40;108000
153;F;Debreceni Egyetem;Health Science;egészségügyi szociális munka;NA;M;3322;332;3;325;Technicians and associate professionals;Other health associate professionals;1;HU323;40;308021
154;M;Eötvös Loránd Tudományegyetem;Arts and Humanities;szociológia;NA;E;5299;529;5;516;"Clerical support workers; service and sales workers";Other personal services workers;0;HU213;40;160900
155;M;Pannon Egyetem;Arts and Humanities;magyar nyelv és irodalom;NA;E;9236;923;9;941;Manual workers;Food preparation assistants;0;HU213;40;93000
156;M;Szegedi Tudományegyetem;Teacher training;tanári;NA;M;2431;243;2;234;Professionals;Primary school and early childhood teachers;1;HU332;40;145700
157;F;Nyíregyházi Fõiskola;Teacher training;tanári;NA;M;2421;242;2;233;Professionals;Secondary education teachers;1;HU323;40;232900
158;M;Szegedi Tudományegyetem;Economic Science;regionális és környezeti gazdaságtan;NA;M;2421;242;2;233;Professionals;Secondary education teachers;1;HU331;40;181087
159;F;IBS Nemzetközi Üzleti Fõiskola;Economic Science;gazdálkodási és menedzsment;Business management;B;3639;363;3;333;Technicians and associate professionals;Business services agents;1;HU101;40;108000
160;F;Budapesti Mûszaki és Gazdaságtudományi Egyetem;Engineering Science;biomérnöki;NA;E;2169;216;2;213;Professionals;Life Science Professionals;1;HU231;20;190000
161;M;Nyugat-Magyarországi Egyetem;Teacher training;tanári;NA;M;3622;362;3;332;Technicians and associate professionals;Sales and purchasing agents and brokers;1;not NUTS important taxpayer;40;172501
162;F;Eötvös Loránd Tudományegyetem;Arts and Humanities;kommunikáció;NA;P;3611;361;3;331;Technicians and associate professionals;Financial and mathematical associate professionals;1;HU101;40;210000
163;M;Pannon Egyetem;Economic Science;vezetés és szervezés;NA;M;2141;214;2;251;Professionals;Software and applications developers and analysts;1;HU101;40;561028
164;M;Széchenyi István Egyetem;Engineering Science;építõmérnöki;NA;E;1313;131;1;132;Managers;"Manufacturing; mining; construction; and distribution managers";1;HU221;40;115000
165;M;Szent István Egyetem;Economic Science;mûszaki menedzser;NA;F;9239;923;9;962;Manual workers;Other elementary workers;0;HU332;20;46500
166;M;Széchenyi István Egyetem;Engineering Science;mechatronikai mérnöki;NA;M;2118;211;2;214;Professionals;Engineering professionals (excluding electrotechnology);1;not NUTS important taxpayer;40;666995
