ID;Gender;Inst_HUN;Pr_area_ENG;Pr_HUN;Pr_ENG_bachelor;Grad_level;FEOR4;FEOR3;ISCO1;ISCO3;ISCO1_ENG;ISCO3_ENG;Req_HEd;NUTS_region;Weekly_hrs;Mountly_wage_HUF
7412;F;Szegedi Tudományegyetem;Health Science;általános orvostudományi;NA;E;2211;221;2;221;Professionals;Medical doctors;1;HU333;10;73080
7413;F;Szegedi Tudományegyetem;Sport Science;egészségtantanár;NA;F;4229;422;4;422;Clerical support workers;Client information workers;0;HU101;40;152382
7414;F;Pázmány Péter Katolikus Egyetem;Arts and Humanities;andragógia;Andragogy;B;4229;422;4;422;Clerical support workers;Client information workers;0;not NUTS important taxpayer;40;241501
7415;F;Budapesti Corvinus Egyetem;Agricultural Science;élelmiszerbiztonsági és -minõségi mérnöki;NA;M;3324;332;3;321;Technicians and associate professionals;Medical and pharmaceutical technicians;1;HU101;40;135965
7416;M;Óbudai Egyetem;Engineering Science;villamosmérnöki;NA;F;1322;132;1;133;Managers;Information and communications technology services managers;1;not NUTS important taxpayer;40;2079008
7417;F;Miskolci Egyetem;Teacher training;tanári;NA;M;2421;242;2;233;Professionals;Secondary education teachers;1;HU311;40;309972
7418;F;Eötvös Loránd Tudományegyetem;Arts and Humanities;andragógia;Andragogy;B;3910;391;3;333;Technicians and associate professionals;Business services agents;1;HU101;30;151875
7419;M;Budapesti Corvinus Egyetem;Economic Science;marketing;NA;M;3632;363;2;243;Professionals;"Sales; marketing and public relations professionals";1;HU101;40;220000
7420;F;Szegedi Tudományegyetem;Economic Science;marketing;NA;M;4225;422;4;422;Clerical support workers;Client information workers;0;HU223;40;113500
7421;M;Nyugat-Magyarországi Egyetem;Agricultural Science;erdõmérnöki;NA;E;1311;131;1;131;Managers;Production and specialised services managers;1;HU102;40;224714
7422;M;Budapesti Kommunikációs és Üzleti Fõiskola;Economic Science;gazdálkodási és menedzsment;Business management;B;1333;133;1;142;Managers;Retail and wholesale trade managers;1;HU101;0;143000
7423;M;Általános Vállalkozási Fõiskola;Economic Science;vállalkozásszervezõ;NA;F;4190;419;4;441;Clerical support workers;Other clerical support workers;0;HU101;40;108000
7424;F;Szegedi Tudományegyetem;Teacher training;tanári;NA;M;2421;242;2;233;Professionals;Secondary education teachers;1;HU333;40;147600
7425;F;Debreceni Egyetem;Computer Science and Information Technology;gazdaságinformatikus;Business Information;B;2624;262;2;263;Professionals;Social and religious professionals;1;HU323;40;120000
7426;F;Széchenyi István Egyetem;Social Science;nemzetközi tanulmányok;International Studies;B;1329;132;1;134;Managers;Professional services managers;1;HU231;40;114000
7427;M;Óbudai Egyetem;Engineering Science;villamosmérnöki;Electric engineer;B;7323;732;7;722;"Skilled agricultural; forestry and fishery workers; craft and related trades workers";"Blacksmiths; toolmakers and related trades workers";0;HU101;40;273104
7428;M;Nyíregyházi Fõiskola;Computer Science and Information Technology;programtervezõ informatikus;Software Engineering;B;2142;214;2;251;Professionals;Software and applications developers and analysts;1;HU101;40;115000
