"Commerce and marketing",0,0,27,1,19,11,10,1,9,34,4,22,2,0,0,12,1,30,6,0,2,0,0,2,0,1,3,0,0,5,0,1,2,0,0,1,0,1,6,4,0,0,2,1,6,0,10,0,0,1,0,0,1,5,0,5,2,1,3,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,2,0,0,1,0,0,2,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"IT  engineer ",0,0,10,6,4,0,2,0,0,2,1,2,102,0,0,2,13,1,0,1,0,1,0,20,0,0,8,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,1,0,3,0,2,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Kindergarten teacher",1,0,2,0,3,0,3,1,1,4,0,3,0,0,27,5,0,1,1,0,0,0,0,0,0,1,0,1,0,1,0,2,0,0,0,0,0,3,1,0,4,0,1,2,0,5,5,1,1,1,0,0,1,0,0,1,0,0,0,3,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,13,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Anglistics",0,0,2,0,1,0,8,1,2,6,0,1,1,0,3,8,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,1,0,0,1,1,1,0,2,1,3,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,2,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mechanical Engineer",0,1,8,7,6,1,1,1,0,13,3,0,2,0,0,3,114,4,3,2,0,0,0,0,0,0,35,0,0,0,0,2,0,4,0,0,2,0,0,0,0,0,2,0,0,0,2,0,0,0,0,1,0,2,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,2,0,2,0,0,0,2,0,0,0,0,7,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
"Special education",0,0,2,0,2,1,2,0,2,3,1,0,0,0,17,1,1,1,0,1,3,0,0,0,10,0,0,38,0,0,0,0,0,0,0,1,0,0,3,2,2,0,1,0,0,0,2,1,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Sociology",0,0,2,0,0,0,3,0,4,2,0,1,0,0,0,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,1,0,4,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"Traffic engineering",0,0,1,0,0,0,2,0,0,8,0,2,0,0,0,2,11,0,0,2,0,1,0,0,0,0,4,1,0,0,0,2,1,0,0,0,0,0,0,0,0,0,1,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Physics",0,0,8,0,4,0,0,0,0,0,0,0,2,0,0,0,1,1,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Health Care and Prevention",1,0,4,0,0,0,1,1,2,0,0,0,0,0,0,0,0,2,0,0,13,0,1,0,8,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"Liberal Arts",0,0,5,0,4,1,6,0,4,3,1,3,1,0,0,3,0,3,1,1,0,2,0,0,0,1,2,0,0,1,1,0,0,0,0,0,0,1,0,0,1,1,2,0,1,1,1,0,1,0,0,0,0,0,1,2,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Catechist, pastoral staff",0,1,1,0,1,0,0,1,2,0,0,2,0,0,2,1,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,4,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
